model,fold,cindex,ibs,mean_auc
cox_ph,0,0.8751042523113233,0.10293947670825677,0.9251577513198456
cox_ph,1,0.8509422205341823,0.11198791634267961,0.9062358351692356
cox_ph,2,0.8499452927344209,0.10581880039163256,0.9001242724518402
cox_ph,3,0.8321193041103294,0.11166929934907614,0.8966071658449795
cox_ph,4,0.9057599771307643,0.08294834135534097,0.9495154433572753
coxnet,0,0.8885727664180453,0.08998894180489983,0.935128561421618
coxnet,1,0.8664555567535813,0.09825747594751505,0.9158719256645844
coxnet,2,0.8646427968487952,0.09700954304958748,0.9124154777761376
coxnet,3,0.8597923366121606,0.09570682919625223,0.9220680418008707
coxnet,4,0.9043681981298635,0.0825568663379546,0.9471958421649335
weibull_aft,0,0.891718997640982,0.08755367601875133,0.935142948615532
weibull_aft,1,0.8731704624714817,0.09043041726146844,0.9171346158618837
weibull_aft,2,0.8798843057739798,0.08470778139646808,0.9297870512591889
weibull_aft,3,0.8812608211607389,0.07701724895342178,0.9346996467323815
weibull_aft,4,0.905576247694499,0.08301690266761018,0.9481059754963347
gbsa,0,0.8941693865353412,0.08158895053486921,0.9411591001037545
gbsa,1,0.8939117421587641,0.07863255282351007,0.9505776937815225
gbsa,2,0.8690611452183342,0.08892249717254208,0.9091971731103731
gbsa,3,0.9026837405645505,0.06647646166200259,0.9516450968222055
gbsa,4,0.9136499227325647,0.07433542184456303,0.9536955939696492
rsf,0,0.8854888852441412,0.07954429751836786,0.9295529348445546
rsf,1,0.8822095603438801,0.0721621916674156,0.9297204261768093
rsf,2,0.8730107588683474,0.08325909132888885,0.9146470213471847
rsf,3,0.8722703081767673,0.06720255210529193,0.925215812890005
rsf,4,0.890229295475301,0.06842913872475999,0.9325759751018998
